# Input	DiseaseName	DiseaseID	GeneSymbol	GeneID	DiseaseCategories	DiseaseCategories	DirectEvidence	InferenceChemicalName	InferenceScore	OmimIDs	PubMedIDs
xkr4	Agranulocytosis	MESH:D000380	XKR4	114786	Blood disease	Blood disease		Valproic Acid	7.23		11831095
xkr4	Agricultural Workers' Diseases	MESH:D000382	XKR4	114786	Occupational disease	Occupational disease		Atrazine	3.01		11874814|15583372|17327316|18343878|20730623
xkr4	Alcoholism	MESH:D000437	XKR4	114786	Mental disorder|Substance-related disorder	Mental disorder|Substance-related disorder		Valproic Acid	2.59		15643110
xkr4	Alcohol-Related Disorders	MESH:D019973	XKR4	114786	Mental disorder|Substance-related disorder	Mental disorder|Substance-related disorder		Valproic Acid	3.43		20204907
xkr4	Alkalosis	MESH:D000471	XKR4	114786	Metabolic disease	Metabolic disease		Valproic Acid	2.91		10227223
xkr4	Alopecia	MESH:D000505	XKR4	114786	Pathology (anatomical condition)|Skin disease	Pathology (anatomical condition)|Skin disease		Tretinoin	7.03		15955085|3771854
xkr4	Alopecia	MESH:D000505	XKR4	114786	Pathology (anatomical condition)|Skin disease	Pathology (anatomical condition)|Skin disease		Valproic Acid	7.03		11393369|3107169|6107726|6772435|6782217
xkr4	Amblyopia	MESH:D000550	XKR4	114786	Eye disease|Nervous system disease|Signs and symptoms	Eye disease|Nervous system disease|Signs and symptoms		Valproic Acid	3.47		17688650
xkr4	Amenorrhea	MESH:D000568	XKR4	114786	Pathology (process)	Pathology (process)		Ethinyl Estradiol	3.31		2576253|2576255
xkr4	Anemia	MESH:D000740	XKR4	114786	Blood disease	Blood disease		Arsenic	8.93		15116095
xkr4	Anemia	MESH:D000740	XKR4	114786	Blood disease	Blood disease		Propylthiouracil	8.93		12549809|12857055|1806466|20168071
xkr4	Anemia	MESH:D000740	XKR4	114786	Blood disease	Blood disease		Valproic Acid	8.93		14986271
xkr4	Anemia, Aplastic	MESH:D000741	XKR4	114786	Blood disease	Blood disease		Propylthiouracil	6.77		18816182
xkr4	Anemia, Aplastic	MESH:D000741	XKR4	114786	Blood disease	Blood disease		Valproic Acid	6.77		16886988
xkr4	Anemia, Hemolytic	MESH:D000743	XKR4	114786	Blood disease	Blood disease		Propylthiouracil	6.15		1110434|11922496
xkr4	Anemia, Hemolytic	MESH:D000743	XKR4	114786	Blood disease	Blood disease		Valproic Acid	6.15		9855327
xkr4	Anemia, Hemolytic, Autoimmune	MESH:D000744	XKR4	114786	Blood disease|Immune system disease	Blood disease|Immune system disease		Valproic Acid	2.60		15717181
xkr4	Anemia, Iron-Deficiency	MESH:D018798	XKR4	114786	Blood disease|Metabolic disease	Blood disease|Metabolic disease		Cadmium Chloride	3.61		21540277
xkr4	Anemia, Macrocytic	MESH:D000748	XKR4	114786	Blood disease	Blood disease		Ethinyl Estradiol	9.40		9169341
xkr4	Anemia, Macrocytic	MESH:D000748	XKR4	114786	Blood disease	Blood disease		Valproic Acid	9.40		16379522|8033931|9108818
xkr4	Anemia, Megaloblastic	MESH:D000749	XKR4	114786	Blood disease	Blood disease		Ethinyl Estradiol	3.16		974714
xkr4	Aneuploidy	MESH:D000782	XKR4	114786	Pathology (process)	Pathology (process)		bisphenol A	8.79		18225860
xkr4	Aneuploidy	MESH:D000782	XKR4	114786	Pathology (process)	Pathology (process)		Cadmium Chloride	8.79		10946240
xkr4	Angina Pectoris	MESH:D000787	XKR4	114786	Cardiovascular disease|Signs and symptoms	Cardiovascular disease|Signs and symptoms		bisphenol A	2.14		20084273
xkr4	Angina, Unstable	MESH:D000789	XKR4	114786	Cardiovascular disease|Signs and symptoms	Cardiovascular disease|Signs and symptoms		Tretinoin	3.75		10025910
xkr4	Angioedema	MESH:D000799	XKR4	114786	Cardiovascular disease|Immune system disease|Skin disease	Cardiovascular disease|Immune system disease|Skin disease		Ethinyl Estradiol	2.54		12870385
xkr4	Anisometropia	MESH:D015858	XKR4	114786	Eye disease	Eye disease		Valproic Acid	4.40		11986102
xkr4	Anodontia	MESH:D000848	XKR4	114786	Congenital abnormality|Mouth disease	Congenital abnormality|Mouth disease		Tretinoin	4.33		2114463
xkr4	Anophthalmos	MESH:D000853	XKR4	114786	Congenital abnormality|Eye disease	Congenital abnormality|Eye disease		Tretinoin	3.94		10923335
xkr4	Anorexia	MESH:D000855	XKR4	114786	Signs and symptoms	Signs and symptoms		Ethinyl Estradiol	9.93		9169341
xkr4	Anorexia	MESH:D000855	XKR4	114786	Signs and symptoms	Signs and symptoms		Propylthiouracil	9.93		16425441
xkr4	Anorexia	MESH:D000855	XKR4	114786	Signs and symptoms	Signs and symptoms		Valproic Acid	9.93		17397449|6772435|6804224|7583902
xkr4	Anovulation	MESH:D000858	XKR4	114786	Endocrine system disease|Urogenital disease (female)	Endocrine system disease|Urogenital disease (female)		Ethinyl Estradiol	3.98		26820455
xkr4	Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis	MESH:D056648	XKR4	114786	Cardiovascular disease|Immune system disease	Cardiovascular disease|Immune system disease		Propylthiouracil	3.78		10025935|10505168|10693882|10786355|10792251|10804735|10846402|10969508|11075728|12110741|12137604|12232461|12390348|14692444|15114849|15175822|15189700|15687828|15730404|15730621|15760792|15944836|16018796|16207324|16435062|16491416|16758084|16847204|16887463|17070108|17161817|17365943|17371473|17415292|17472842|17954295|17985400|18044264|18676500|19260531|19493451|19740576|20061292|20168071|20482568|8103148|8201492|8542214|8956314|9575062
xkr4	Antiphospholipid Syndrome	MESH:D016736	XKR4	114786	Immune system disease	Immune system disease		Propylthiouracil	4.12		15822032|15879050|18044264
xkr4	Anxiety Disorders	MESH:D001008	XKR4	114786	Mental disorder	Mental disorder		bisphenol A	5.39		22957036|23240141|23716699|23791455|23871786|24323913|25112706|25242006|25812946|26060449|28089772
xkr4	Anxiety Disorders	MESH:D001008	XKR4	114786	Mental disorder	Mental disorder		Valproic Acid	5.39		17497229|19664757|23665938
xkr4	Apnea	MESH:D001049	XKR4	114786	Respiratory tract disease|Signs and symptoms	Respiratory tract disease|Signs and symptoms		Valproic Acid	2.42		6769734
xkr4	Apraxias	MESH:D001072	XKR4	114786	Nervous system disease|Signs and symptoms	Nervous system disease|Signs and symptoms		Valproic Acid	3.37		18459937
xkr4	Arnold-Chiari Malformation	MESH:D001139	XKR4	114786	Congenital abnormality|Nervous system disease	Congenital abnormality|Nervous system disease		Tretinoin	12.12		15893307
xkr4	Arnold-Chiari Malformation	MESH:D001139	XKR4	114786	Congenital abnormality|Nervous system disease	Congenital abnormality|Nervous system disease		Valproic Acid	12.12		6401849
xkr4	Arrest of spermatogenesis	MESH:C536875	XKR4	114786	Urogenital disease (male)	Urogenital disease (male)		bisphenol A	3.72		25181051
xkr4	Arrhythmias, Cardiac	MESH:D001145	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Arsenic	8.30		24964631
xkr4	Arrhythmias, Cardiac	MESH:D001145	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		bisphenol A	8.30		21980463|22166976|24140712|24569941
xkr4	Arrhythmias, Cardiac	MESH:D001145	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Vehicle Emissions	8.30		21377951
xkr4	Arrhythmia, Sinus	MESH:D001146	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Tretinoin	3.72		8691592
xkr4	Arsenic Poisoning	MESH:D020261	XKR4	114786	Nervous system disease	Nervous system disease		Arsenic	3.03		11836136|12569548|15276408|15743710|15743725|16217243|16251483|16835338|16860454|17195561|17366768|17384779|17450239|18414634|20547570|20646756|21291286|23353816|24239724|25598836|27068294|27847431|28823652
xkr4	Arterial Occlusive Diseases	MESH:D001157	XKR4	114786	Cardiovascular disease	Cardiovascular disease		Ethinyl Estradiol	3.08		788979
xkr4	Arteriosclerosis	MESH:D001161	XKR4	114786	Cardiovascular disease	Cardiovascular disease		Ethinyl Estradiol	3.14		11256880
xkr4	Arthralgia	MESH:D018771	XKR4	114786	Musculoskeletal disease|Signs and symptoms	Musculoskeletal disease|Signs and symptoms		Propylthiouracil	2.99		10088956|11075728|11380496|12521217|12549809|15785249|16207347|16425441|6179348|9611379|9893462
xkr4	Arthritis	MESH:D001168	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		Propylthiouracil	7.95		10088956|12549809|15583443|15785249|15822032|15879050|16435062|1806466|566489|6850193
xkr4	Arthritis	MESH:D001168	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		Tretinoin	7.95		10741706
xkr4	Arthritis, Experimental	MESH:D001169	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		Cadmium Chloride	11.32		26070417
xkr4	Arthritis, Experimental	MESH:D001169	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		Ethinyl Estradiol	11.32		15885639
xkr4	Arthritis, Experimental	MESH:D001169	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		Tretinoin	11.32		16412693
xkr4	Arthritis, Rheumatoid	MESH:D001172	XKR4	114786	Connective tissue disease|Immune system disease|Musculoskeletal disease	Connective tissue disease|Immune system disease|Musculoskeletal disease		entinostat	5.68		20421217
xkr4	Arthritis, Rheumatoid	MESH:D001172	XKR4	114786	Connective tissue disease|Immune system disease|Musculoskeletal disease	Connective tissue disease|Immune system disease|Musculoskeletal disease		Tretinoin	5.68		16292516|21274875
xkr4	Ascites	MESH:D001201	XKR4	114786	Pathology (process)	Pathology (process)		Valproic Acid	2.69		10950478
xkr4	Asthenozoospermia	MESH:D053627	XKR4	114786	Urogenital disease (male)	Urogenital disease (male)		Atrazine	14.03		22897171
xkr4	Asthenozoospermia	MESH:D053627	XKR4	114786	Urogenital disease (male)	Urogenital disease (male)		bisphenol A	14.03		25461564|25772901|27296223
xkr4	Asthenozoospermia	MESH:D053627	XKR4	114786	Urogenital disease (male)	Urogenital disease (male)		Cadmium Chloride	14.03		15304303|18308070|22356231|22828241
xkr4	Asthma	MESH:D001249	XKR4	114786	Immune system disease|Respiratory tract disease	Immune system disease|Respiratory tract disease		Tretinoin	5.60		16456186
xkr4	Asthma	MESH:D001249	XKR4	114786	Immune system disease|Respiratory tract disease	Immune system disease|Respiratory tract disease		Vehicle Emissions	5.60		15121522|15226151|17903240|20565827|21513554|21995638
xkr4	Astigmatism	MESH:D001251	XKR4	114786	Eye disease	Eye disease		Valproic Acid	4.75		11986102
xkr4	Ataxia	MESH:D001259	XKR4	114786	Nervous system disease|Signs and symptoms	Nervous system disease|Signs and symptoms		Tretinoin	5.66		10609785
xkr4	Ataxia	MESH:D001259	XKR4	114786	Nervous system disease|Signs and symptoms	Nervous system disease|Signs and symptoms		Valproic Acid	5.66		12838456|17412645|17414255|17726763|6092902|6426961|6431599|6772435
xkr4	Atherosclerosis	MESH:D050197	XKR4	114786	Cardiovascular disease	Cardiovascular disease		Arsenic	9.89		12928151|16806340|19371607|21605854|22719926|22956628|23761297|25273567
xkr4	Atherosclerosis	MESH:D050197	XKR4	114786	Cardiovascular disease	Cardiovascular disease		bisphenol A	9.89		24755147
xkr4	Atherosclerosis	MESH:D050197	XKR4	114786	Cardiovascular disease	Cardiovascular disease		Propylthiouracil	9.89		19931584
xkr4	Atrial Fibrillation	MESH:D001281	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Vehicle Emissions	2.34		27472911
xkr4	Atrial septal defect 2	MESH:C538263	XKR4	114786	Cardiovascular disease|Congenital abnormality	Cardiovascular disease|Congenital abnormality		Ethinyl Estradiol	4.53		830309
xkr4	Atrioventricular Block	MESH:D054537	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Tretinoin	6.64		16447716
xkr4	Atrioventricular Block	MESH:D054537	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Vehicle Emissions	6.64		22052608
xkr4	Atrophy	MESH:D001284	XKR4	114786	Pathology (anatomical condition)	Pathology (anatomical condition)		bisphenol A	11.41		21536718
xkr4	Atrophy	MESH:D001284	XKR4	114786	Pathology (anatomical condition)	Pathology (anatomical condition)		Cadmium Chloride	11.41		10924798
xkr4	Atrophy	MESH:D001284	XKR4	114786	Pathology (anatomical condition)	Pathology (anatomical condition)		Valproic Acid	11.41		12878301|1414247|15971646|3117347|7574471
xkr4	Attention Deficit and Disruptive Behavior Disorders	MESH:D019958	XKR4	114786	Mental disorder	Mental disorder		Valproic Acid	3.40		20200383
xkr4	Attention Deficit Disorder with Hyperactivity	MESH:D001289	XKR4	114786	Mental disorder	Mental disorder		bisphenol A	2.36		21277317
xkr4	Autism Spectrum Disorder	MESH:D000067877	XKR4	114786	Mental disorder	Mental disorder		Arsenic	7.30		24284360
xkr4	Autism Spectrum Disorder	MESH:D000067877	XKR4	114786	Mental disorder	Mental disorder		Valproic Acid	7.30		20734317|21195144
xkr4	Autistic Disorder	MESH:D001321	XKR4	114786	Mental disorder	Mental disorder		Valproic Acid	1.89		11263692|15238991|15794725|16609825|17157402|17507914|17688650|18177632|18316065|18396377|18558336|18775368|18940202|18985861|19232924|19460635|19755133|20603192|23665938|7512516|8808733|9100317|9344057
xkr4	Barrett Esophagus	MESH:D001471	XKR4	114786	Cancer|Digestive system disease	Cancer|Digestive system disease		Tretinoin	3.57		16935849
xkr4	Basal Ganglia Diseases	MESH:D001480	XKR4	114786	Nervous system disease	Nervous system disease		Valproic Acid	2.30		10435776|12673616|15230719|16221398|17726763|19419832|9097225|9754845
xkr4	Bipolar Disorder	MESH:D001714	XKR4	114786	Mental disorder	Mental disorder		Valproic Acid	2.06		10200867|10327382|10435776|10440473|10716101|10846716|11114842|11147471|11465677|11485152|11493940|12237792|12352283|12562742|12734768|12773089|14763681|1487473|15289703|15323605|15610953|15625224|15643110|15708425|15901671|15960580|15971646|16368918|16442685|16814474|17224721|17284507|17314721|17543032|17594078|17904262|17932448|18006134|18579216|18794653|18806245|19085528|19304858|19573494|19593189|19745651|20046352|20204907|20222501|20305608|20470847|20627318|20633736|20633751|21051687|26348896|28032682|7625481|8214193|8328579|8601548|8610843|8626351|8752018|9097225|9658268
xkr4	Birth Weight	MESH:D001724	XKR4	114786	Signs and symptoms	Signs and symptoms		Arsenic	8.13		18000415|19037006|20299303|20940111
xkr4	Birth Weight	MESH:D001724	XKR4	114786	Signs and symptoms	Signs and symptoms		Cadmium Chloride	8.13		22957049
xkr4	Blister	MESH:D001768	XKR4	114786	Pathology (anatomical condition)|Skin disease	Pathology (anatomical condition)|Skin disease		Propylthiouracil	3.81		19578601
xkr4	Blood Coagulation Disorders	MESH:D001778	XKR4	114786	Blood disease	Blood disease		Propylthiouracil	13.74		19483382|20575220
xkr4	Blood Coagulation Disorders	MESH:D001778	XKR4	114786	Blood disease	Blood disease		Tretinoin	13.74		15087033|16197459|16206674
xkr4	Blood Coagulation Disorders	MESH:D001778	XKR4	114786	Blood disease	Blood disease		Valproic Acid	13.74		17923349|403429
xkr4	Blood Platelet Disorders	MESH:D001791	XKR4	114786	Blood disease	Blood disease		Valproic Acid	3.17		6772435
xkr4	Body Weight	MESH:D001835	XKR4	114786	Signs and symptoms	Signs and symptoms		bisphenol A	2.92		24705360|24768697
xkr4	Body Weight Changes	MESH:D001836	XKR4	114786	Signs and symptoms	Signs and symptoms		bisphenol A	9.30		24496637
xkr4	Body Weight Changes	MESH:D001836	XKR4	114786	Signs and symptoms	Signs and symptoms		Cadmium Chloride	9.30		10924798
xkr4	Bone Diseases, Developmental	MESH:D001848	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		trichostatin A	8.20		17320131
xkr4	Bone Diseases, Developmental	MESH:D001848	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		Valproic Acid	8.20		17320131|8888407
xkr4	Bone Diseases, Metabolic	MESH:D001851	XKR4	114786	Metabolic disease|Musculoskeletal disease	Metabolic disease|Musculoskeletal disease		Valproic Acid	2.92		7624000
xkr4	Bone Marrow Diseases	MESH:D001855	XKR4	114786	Blood disease	Blood disease		Propylthiouracil	12.44		19493451|6054594
xkr4	Bone Marrow Diseases	MESH:D001855	XKR4	114786	Blood disease	Blood disease		Tretinoin	12.44		9378467
xkr4	Bone Marrow Diseases	MESH:D001855	XKR4	114786	Blood disease	Blood disease		Valproic Acid	12.44		16787750|7944539
xkr4	Bone Resorption	MESH:D001862	XKR4	114786	Musculoskeletal disease	Musculoskeletal disease		bisphenol A	2.66		11985600
xkr4	Bowen's Disease	MESH:D001913	XKR4	114786	Cancer	Cancer		Arsenic	4.24		15116095|21514422|25559853
xkr4	Bradycardia	MESH:D001919	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Tretinoin	4.55		8691592
xkr4	Bradycardia	MESH:D001919	XKR4	114786	Cardiovascular disease|Pathology (process)	Cardiovascular disease|Pathology (process)		Vehicle Emissions	4.55		22052608
xkr4	Brain Diseases	MESH:D001927	XKR4	114786	Nervous system disease	Nervous system disease		Cadmium Chloride	14.04		17882470
xkr4	Brain Diseases	MESH:D001927	XKR4	114786	Nervous system disease	Nervous system disease		Propylthiouracil	14.04		21964421
xkr4	Brain Diseases	MESH:D001927	XKR4	114786	Nervous system disease	Nervous system disease		Tretinoin	14.04		9380001
xkr4	Brain Diseases	MESH:D001927	XKR4	114786	Nervous system disease	Nervous system disease		Valproic Acid	14.04		10065384|10636156|10655774|11846840|11903461|11928900|12838456|12878301|12974941|15016014|15349008|15380868|15971646|16181582|16787750|17074608|17101920|17823470|18081909|18259656|19952878|20723245|2219888|24964948|25111975|3117347|3140405|3157141|3922913|6431599|6798491|7532570|7625483|7799006|8919272
xkr4	Brain Diseases, Metabolic	MESH:D001928	XKR4	114786	Metabolic disease|Nervous system disease	Metabolic disease|Nervous system disease		Valproic Acid	3.21		10846716|10897167|12199737|15266186|15528922|15647953|16010067|16908754|17412645|17661800|17846437|18333544|18446695|18806245|1906442|19133574|19304858|20337505|6419536|9598692|9700838
xkr4	Brain Edema	MESH:D001929	XKR4	114786	Nervous system disease	Nervous system disease		Tretinoin	7.11		10742073
xkr4	Brain Edema	MESH:D001929	XKR4	114786	Nervous system disease	Nervous system disease		Valproic Acid	7.11		15647953|15726065|17522786|9314085
xkr4	Brain Injuries	MESH:D001930	XKR4	114786	Nervous system disease|Wounds and injuries	Nervous system disease|Wounds and injuries		Cadmium Chloride	5.77		24299490
xkr4	Brain Injuries	MESH:D001930	XKR4	114786	Nervous system disease|Wounds and injuries	Nervous system disease|Wounds and injuries		Valproic Acid	5.77		1414247|19626387|3607518|8808733
xkr4	Brain Ischemia	MESH:D002545	XKR4	114786	Cardiovascular disease|Nervous system disease	Cardiovascular disease|Nervous system disease		Ethinyl Estradiol	2.49		3529368
xkr4	Brain Neoplasms	MESH:D001932	XKR4	114786	Cancer|Nervous system disease	Cancer|Nervous system disease		Vehicle Emissions	2.82		21771295
xkr4	Breast Diseases	MESH:D001941	XKR4	114786	Skin disease	Skin disease		Ethinyl Estradiol	3.88		12616963
xkr4	Breast Neoplasms	MESH:D001943	XKR4	114786	Cancer|Skin disease	Cancer|Skin disease		Arsenic	15.78		23830798
xkr4	Breast Neoplasms	MESH:D001943	XKR4	114786	Cancer|Skin disease	Cancer|Skin disease		Atrazine	15.78		21768606
xkr4	Breast Neoplasms	MESH:D001943	XKR4	114786	Cancer|Skin disease	Cancer|Skin disease		bisphenol A	15.78		17123778|19590677|19590682|24520039
xkr4	Breast Neoplasms	MESH:D001943	XKR4	114786	Cancer|Skin disease	Cancer|Skin disease		Nickel	15.78		15986119
xkr4	Breast Neoplasms	MESH:D001943	XKR4	114786	Cancer|Skin disease	Cancer|Skin disease		Tretinoin	15.78		16166294|16443354|16873071|23830798
xkr4	Breast Neoplasms	MESH:D001943	XKR4	114786	Cancer|Skin disease	Cancer|Skin disease		Vehicle Emissions	15.78		26008800|26878284
